Идентификатор продукта;Наименование товара;Идентификатор производителя;Идентификатор категории;Идентификатор подкатегории;Описание;Состав;Изображение;Цена
11;Сапоги осенние натуральная кожа;10;2;2;Сапоги женские демисезонные из высококачественной натуральной кожи. Производитель: Дом обуви «Барбари», г. Новороссийск ;Верх — натуральная кожа, подкладка — текстильный утеплитель, стелька — текстиль, подошва — ТПР;IMG_WB_170859.png;15000
12;Сапоги трубы демисезонные замшевые;11;2;2;Сапоги женские демисезонные замшевые. Производитель: ОАО «Твой комфорт», г. Ярославль;Верх — натуральная замша, утепленные, тракторная подошва, стелька — байка, подошва — резина;IMG_WB_170906.png;17000
13;Босоножки «Песчаный берег» коричневые;12;2;3;Коричневая кожаная модель с открытым носком, боковой пряжкой и закрытым каблуком. Производитель: ИП «Стиль и комфорт», г. Санкт-Петербург;"Верх — 100% козья кожа, подкладка — 100% кожа; подошва: 100% кожа";IMG_WSd_174332.png;7500
14;Женские босоножки «Черный кофе» со скульптурным каблуком;13;2;3;Открытый носок и ремешок со сборной пряжкой, низкий каблук и резиновая подошва гарантируют комфорт. Производитель: ЗАО «Кожевенные традиции», г. Вятка;"Верх — кожа собственного производств, подкладка — кожа; подошва: резина";IMG_WSd_185156.png;5600
15;Босоножки женские «Летний бриз»;14;2;3;Босоножки женские кожаные белые, регулируемый ремешок, закрытый каблук и кожаная подошва. Производитель: ООО «Модный силуэт», г. Кострома;Верх — натуральная кожа, подкладка — натуральная кожа, подошва — кожа;IMG_WSd_185551.png;7130
16;Демисезонные туфли натуральная кожа;14;2;4;Комфортные лаконичные лодочки, классический дизайна с современными акцентами. Производитель: ООО «Модный силуэт», г. Кострома;Верх — натуральная овечья кожа, подкладка и стелька — натуральная овечья кожа, подошва — резина;IMG_WSho_174409.png;12340
17;Туфли женские натуральная кожа с металлическими вставками;13;2;4;Стильные туфли для весеннего и летнего сезона. Производитель: ЗАО «Кожевенные традиции», г. Вятка;Верх — натуральная телячьей кожа, металлическая пряжка, подкладка и стелька— натуральная овечья кожа, подошва — резина;IMG_WSho_185202.png;7757
18;Туфли классические лодочки натуральная кожа;12;2;4;Модель из натуральной кожи, классический острый носок и изящная шпилька. Производитель: ИП «Стиль и комфорт», г. Санкт-Петербург;Верх — натуральная кожа, подкладка и стелька — натуральная кожа, подошва — тунит;IMG_WSho_185545.png;7550
19;Кроссовки белые с оранжевым и красным;2;2;1;Многослойный верх из кожи и текстиля. Производитель: Фабрика «Топ-Топ», г. Киров;Верх — 70% кожа, 30% текстиль, подкладка — текстиль, подошва — резина;IMG_WS_174110.png;9450
20;Кроссовки летние кожаные;2;2;1;Уверенность на каждом шагу. Материал обеспечивает долговечность и комфорт при носке. Производитель: Фабрика «Топ-Топ», г. Киров;"Верх — 87% кожа, 11% текстиль, 2% синтетика; подкладка: 100% текстиль; подошва: резина, пластик";IMG_WS_185528.png;8565
21;Кроссовки кожаные;12;2;1;Кроссовки женские из натуральной кожи. Производитель: ИП «Стиль и комфорт», г. Санкт-Петербург;Верх — натуральная кожа, подкладка — кожа, подошва — полиуретан;IMG_WS_185535.png;8765
22;Кроссовки «Стиль и комфорт»;12;2;1;Кроссовки женские из натуральной кожи и синтетических материалов, сетчатые вставки. Производитель: ИП «Стиль и комфорт», г. Санкт-Петербург;"Верх — 70% кожа, 20% полиамид, 10% полиуретан; подкладка — текстиль, подошва — ТПУ";IMG_WS_185538.png;7795
23;Кроссовки для бега «Драйв»;15;3;1;Сочетание стиля, комфорта и современных технологий. Производитель: Фабрика «Азимут», г. Санкт-Петербург;Верх —  сетка, подкладка — текстиль, подошва —  резина;IMG_MS_185531.png;6550
24;Кроссовки «Азимут Бег» ;15;3;1;Универсальный выбор для повседневного использования. Производитель: Фабрика «Азимут», г. Санкт-Петербург;"Верх — 6% кожа, 29% текстиль, 15% полимерные материалы; подкладка — 100% текстиль; подошва — полимерные материалы, резина";IMG_MS_185532.png;7890
25;Кроссовки;2;3;1;Кроссовки для мужчин, идеальное сочетание стиля и комфорта. Производитель: Фабрика «Топ-Топ», г. Киров;"Верх — 56% кожа, 29% текстиль, 15% полимерные материалы; подкладка — 100% текстиль; подошва — полимерные материалы, резина";IMG_MS_185533.png;9567
26;Черные туфли в классическом стиле — база для деловых образов;10;3;4;Модель выполнена из натуральной кожи, на резиновой подошве. Производитель: Дом обуви «Барбари», г. Новороссийск ;Верх — натуральная кожа, подкладка — текстиль, стелька — натуральная кожа, подошва — резина;IMG_MSho_190514.png;24569
27;Туфли мужские светлые классика демисезонные;16;3;4;Туфли на низком каблуке кожаные;Верх — натуральная кожа, подкладка — текстиль, стелька — натуральная кожа, подошва — ТЭП;IMG_MSho_190518.png;10155
28;Туфли из натуральной кожи;16;3;4;Модель выполнена из натуральной кожи, на резиновой подошве, поддеживает классический и деловой стиль образов. Производитель: Дом обуви «Берестов», г. Москва;Верх — натуральная кожа, подкладка — натуральная кожа, стелька — натуральная кожа, подошва — резина;IMG_MSho_191612.png;25625
29;Ботинки мужские демисезонные;10;3;5;Ботинки из натуральной кожи темно-коричневого и черного цвета на шнурках. Производитель: Дом обуви «Берестов», г. Москва;Верх — натуральная кожа, подкладка — текстиль, подошва — искусственный материал;IMG_MB_174349.png;21500
30;Ботинки черные из натуральной кожи;13;3;5;Ботинки представляют баланс традиций и современности. Выполнены из натуральной кожи насыщенного черного цвета. Производитель: ЗАО «Кожевенные традиции», г. Вятка;Верх — натуральная кожа, подкладка — ворсин, стелька — ворсин, подошва — тунит;IMG_MB_191200.png;14567
31;Ботинки зимние классические;10;3;5;Выбор на каждый день — натуральная кожа, натуральный мех. Производитель: Дом обуви «Барбари», г. Новороссийск ;Верх — натуральная кожа, подкладка — натуральный мех, стелька — натуральный мех, подошва — ТЭП;IMG_MB_191205.png;15670
